# CSV-File created with merge-csv.com
# -----------------------------------------------------------

DATE,TOTDTEUSQ163N
1961-06-01,23.4164
1961-07-01,23.6858
1961-08-01,23.9014
1961-09-01,23.8745
1961-10-01,24.3325
1961-11-01,24.7098
1961-12-01,24.9253
1962-01-01,24.7098
1962-02-01,25.1140
1962-03-01,25.2487
1962-04-01,25.3026
1962-05-01,25.2756
1962-06-01,25.2218
1962-07-01,25.4643
1962-08-01,25.4912
1962-09-01,25.6529
1962-10-01,25.6799
1962-11-01,25.7876
1962-12-01,25.7876
1963-01-01,25.9762
1963-02-01,26.2727
1963-03-01,26.4344
1963-04-01,26.6769
1963-05-01,27.0002
1963-06-01,27.0811
1963-07-01,26.9733
1963-08-01,27.0272
1963-09-01,27.2966
1963-10-01,27.4853
1963-11-01,27.6200
1963-12-01,27.5661
1964-01-01,27.8086
1964-02-01,27.9972
1964-03-01,27.9972
1964-04-01,28.4553
1964-05-01,28.6170
1964-06-01,28.6978
1964-07-01,28.8865
1964-08-01,29.0751
1964-09-01,29.1829
1964-10-01,28.7787
1964-11-01,29.6679
1964-12-01,30.0182
1965-01-01,30.3416
1965-02-01,30.5302
1965-03-01,30.9344
1965-04-01,31.0691
1965-05-01,31.3116
1965-06-01,31.5541
1965-07-01,31.8506
1965-08-01,31.9853
1965-09-01,32.0661
1965-10-01,32.3895
1965-11-01,32.5242
1965-12-01,32.9284
1966-01-01,33.2518
1966-02-01,33.4674
1966-03-01,33.9254
1966-04-01,33.9793
1966-05-01,34.3027
1966-06-01,34.4643
1966-07-01,34.6530
1966-08-01,34.6799
1966-09-01,35.0033
1966-10-01,35.2458
1966-11-01,35.0033
1966-12-01,35.0841
1967-01-01,35.2496
1967-02-01,34.8498
1967-03-01,34.6534
1967-04-01,34.9802
1967-05-01,34.6750
1967-06-01,34.6707
1967-07-01,34.5918
1967-08-01,35.2545
1967-09-01,35.1972
1967-10-01,35.4839
1967-11-01,35.9914
1967-12-01,36.3790
1968-01-01,36.3399
1968-02-01,36.4701
1968-03-01,36.5839
1968-04-01,36.6369
1968-05-01,37.0478
1968-06-01,37.1839
1968-07-01,37.1269
1968-08-01,37.2305
1968-09-01,37.3715
1968-10-01,37.4457
1968-11-01,37.9301
1968-12-01,38.0499
1969-01-01,38.2801
1969-02-01,38.5250
1969-03-01,38.8271
1969-04-01,38.6842
1969-05-01,38.5380
1969-06-01,38.9145
1969-07-01,39.1200
1969-08-01,39.2099
1969-09-01,39.2011
1969-10-01,39.2125
1969-11-01,38.8429
1969-12-01,38.7387
1970-01-01,38.0213
1970-02-01,37.9963
1970-03-01,37.9469
1970-04-01,37.8494
1970-05-01,37.8053
1970-06-01,37.6830
1970-07-01,37.7755
1970-08-01,37.7081
1970-09-01,37.4482
1970-10-01,36.6991
1970-11-01,36.4768
1970-12-01,37.3145
1971-01-01,37.6015
1971-02-01,37.5299
1971-03-01,37.4892
1971-04-01,37.6998
1971-05-01,37.8911
1971-06-01,38.0500
1971-07-01,37.9395
1971-08-01,37.7193
1971-09-01,38.3324
1971-10-01,38.6193
1971-11-01,38.7832
1971-12-01,39.2309
1972-01-01,40.1688
1972-02-01,40.5837
1972-03-01,40.8655
1972-04-01,41.2656
1972-05-01,41.2706
1972-06-01,41.3786
1972-07-01,41.3347
1972-08-01,41.9046
1972-09-01,42.2284
1972-10-01,42.7745
1972-11-01,43.2795
1972-12-01,43.7695
1973-01-01,44.0847
1973-02-01,44.7242
1973-03-01,44.7435
1973-04-01,44.6782
1973-05-01,44.9741
1973-06-01,45.0257
1973-07-01,45.1952
1973-08-01,45.1308
1973-09-01,45.4862
1973-10-01,45.8531
1973-11-01,46.0654
1973-12-01,45.9344
1974-01-01,45.6298
1974-02-01,45.4951
1974-03-01,45.4952
1974-04-01,45.3625
1974-05-01,45.7241
1974-06-01,45.6390
1974-07-01,45.7193
1974-08-01,45.2357
1974-09-01,45.2421
1974-10-01,45.1011
1974-11-01,43.6158
1974-12-01,42.0553
1975-01-01,41.4750
1975-02-01,40.5290
1975-03-01,40.0796
1975-04-01,40.1527
1975-05-01,40.0399
1975-06-01,40.2987
1975-07-01,40.7094
1975-08-01,41.1098
1975-09-01,41.6380
1975-10-01,41.8171
1975-11-01,41.8764
1975-12-01,42.4484
1976-01-01,43.0149
1976-02-01,43.4515
1976-03-01,43.5359
1976-04-01,43.7593
1976-05-01,43.9359
1976-06-01,43.9918
1976-07-01,44.2254
1976-08-01,44.5365
1976-09-01,44.6775
1976-10-01,44.6695
1976-11-01,45.3540
1976-12-01,45.8357
1977-01-01,45.5276
1977-02-01,46.2567
1977-03-01,46.8356
1977-04-01,47.2898
1977-05-01,47.6607
1977-06-01,48.0196
1977-07-01,48.0819
1977-08-01,48.1315
1977-09-01,48.3308
1977-10-01,48.4014
1977-11-01,48.4924
1977-12-01,48.5640
1978-01-01,47.8693
1978-02-01,48.1283
1978-03-01,49.0553
1978-04-01,50.0260
1978-05-01,50.2717
1978-06-01,50.5939
1978-07-01,50.5499
1978-08-01,50.7622
1978-09-01,50.8856
1978-10-01,51.2821
1978-11-01,51.6737
1978-12-01,51.9404
1979-01-01,51.6507
1979-02-01,51.9097
1979-03-01,52.0667
1979-04-01,51.4548
1979-05-01,51.9061
1979-06-01,51.9067
1979-07-01,51.8258
1979-08-01,51.4900
1979-09-01,51.4847
1979-10-01,51.8421
1979-11-01,51.7591
1979-12-01,51.7974
1980-01-01,52.0677
1980-02-01,52.0899
1980-03-01,51.8687
1980-04-01,50.8454
1980-05-01,49.5947
1980-06-01,48.9621
1980-07-01,48.6090
1980-08-01,48.7646
1980-09-01,49.5764
1980-10-01,50.2058
1980-11-01,51.0418
1980-12-01,51.3906
1981-01-01,51.0656
1981-02-01,50.8554
1981-03-01,51.1107
1981-04-01,50.8864
1981-05-01,51.1788
1981-06-01,51.4496
1981-07-01,51.7764
1981-08-01,51.7129
1981-09-01,51.4605
1981-10-01,51.0625
1981-11-01,50.4730
1981-12-01,49.9364
1982-01-01,48.9114
1982-02-01,49.9102
1982-03-01,49.5691
1982-04-01,49.1146
1982-05-01,48.7805
1982-06-01,48.6606
1982-07-01,48.4863
1982-08-01,48.0569
1982-09-01,47.9303
1982-10-01,47.4738
1982-11-01,47.3200
1982-12-01,46.9813
1983-01-01,47.8523
1983-02-01,47.5667
1983-03-01,47.9599
1983-04-01,48.5564
1983-05-01,48.8647
1983-06-01,49.1558
1983-07-01,49.8873
1983-08-01,50.4843
1983-09-01,51.2160
1983-10-01,51.6139
1983-11-01,51.8420
1983-12-01,52.0948
1984-01-01,53.1348
1984-02-01,53.3763
1984-03-01,53.6314
1984-04-01,53.9491
1984-05-01,54.2396
1984-06-01,54.4288
1984-07-01,54.5865
1984-08-01,54.6530
